stock_code,description,unit_price,recent_30d_demand,expected_30d_demand,lower_30d_estimate,upper_30d_estimate,trend_pct,trend_direction,status,recommended_action,confidence_interval_label,current_stock
21754,Home Building Block Word,6.07,275.0,412.5,279.9,545.1,85.8,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22178,Victorian Glass Hanging T-Light,1.24,187.0,280.5,178.8,382.2,156.2,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1259.0
21733,Red Hanging Heart T-Light Holder,2.99,216.0,197.6,76.1,319.1,-8.5,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),1236.0
22383,Lunch Bag Suki Design,1.61,207.0,253.6,161.8,345.4,22.5,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1245.0
82482,Wooden Picture Frame White Finish,2.56,103.0,62.0,0.0,140.7,-39.8,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
85123A,White Hanging Heart T-Light Holder,2.55,258.0,3776.9,106.8,10236.2,8.4,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),1213.0
22720,Set Of 3 Cake Tins Pantry Design,4.96,198.0,248.1,143.7,352.5,25.3,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
21212,Pack Of 72 Retrospot Cake Cases,0.56,261.0,391.5,282.6,500.4,243.4,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1174.0
47566,Party Bunting,5.03,160.0,191.0,94.2,287.8,19.4,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22960,Jam Making Set With Jars,4.27,261.0,382.6,275.8,489.4,46.6,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),1172.0
84879,Assorted Colour Bird Ornament,1.68,165.0,109.4,5.2,213.6,-33.7,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1180.0
85099B,Jumbo Bag Red Retrospot,2.06,185.0,142.6,40.2,245.0,-22.9,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
22423,Regency Cakestand 3 Tier,12.97,280.0,420.0,301.0,539.0,60.9,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22666,Recipe Box Pantry Design,2.95,213.0,256.2,136.1,376.3,20.3,Rising,Healthy,🟢 Demand Expanding — Monitor stock velocity and ensure supplier allocation,85% Empirical Error Bound (No Future Leakage),
22697,Green Regency Teacup And Saucer,2.95,122.0,107.1,24.0,190.2,-12.2,Stable,Healthy,🟢 Stable Demand — Regular stock maintenance recommended,85% Empirical Error Bound (No Future Leakage),
20728,Lunch Bag Cars Blue,1.66,111.0,85.0,7.4,162.6,-23.4,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),1090.0
22086,Paper Chain Kit 50'S Christmas,2.96,115.0,72.7,6.1,139.3,-36.8,Falling,Monitor,🟡 Demand Slowing — Review stock holding and consider promotional discount,85% Empirical Error Bound (No Future Leakage),
